Nama Tempat,Lokasi,Kategori,Rating,Jumlah Review,Harga Tiket,Pengikut IG,Fasilitas,Review
Pemandian Air Panas Way Belerang,Lampung Selatan,Alam,4.3,1113,10000,0,2 kolam air panas belerang. Kolam renang air tawar. Kamar bilas. Toilet. Mushola. Gazebo. Taman bermain anak. Ayunan. Perosotan. Bangku putar. Flying fox. Arena bermain terbuka. Balai pertemuan. Aula. Kantin. Warung makan. Peternakan kuda. Delman. Taman santai. Penjual sabun belerang,Pemandian air panas alami yang bersumber langsung dari kaki Gunung Rajabasa dengan kandungan belerang yang dipercaya bermanfaat untuk kesehatan kulit seperti mengobati gatal-gatal. panu. kadas. kurap. kutu air. serta penyakit lainnya seperti rematik. asam urat. kolesterol. dan stroke. Terdapat dua kolam air panas berukuran besar mirip kolam renang. kolam bagian atas lebih pekat dan beraroma belerang lebih kuat dengan kedalaman 100 cm. sedangkan kolam bagian bawah lebih jernih dan luas dengan kedalaman 150 cm.
Pantai Belebuk,Lampung Selatan,Alam,4.3,133,5000,127,Gazebo. Saung-saung di sepanjang pantai. Warung makan dan minuman. Jasa sewa perahu ke Pulau Sekepol. Pemandangan Pulau Sekepol dari bibir pantai. Area parkir. Pepohonan rindang di sekitar pantai,Pantai yang masih sangat alami dan belum terlalu ramai pengunjung sehingga suasananya tenang dan nyaman. Menawarkan pemandangan laut yang indah dengan view Pulau Sekepol yang terlihat jelas dari bibir pantai karena jaraknya hanya sekitar 700 meter. Cocok untuk wisatawan yang ingin menikmati keindahan alam pantai yang masih asri jauh dari keramaian. 
Pantai Wartawan,Lampung Selatan,Alam,4.1,290,5000,4,Sumber air panas alami di tepi pantai. Bukit Botak (ketinggian 50 meter). Goa. Makam pendekar Tubagus Sulaiman. Spot pemandangan Gunung Anak Krakatau. Area parkir. Warung makan dan minuman. Angkutan umum tersedia,Pantai unik dan langka yang memiliki sumber air panas alami yang muncul langsung dari sela-sela bebatuan di bibir pantai dengan suhu mencapai 80 derajat Celcius. bersumber dari aktivitas belerang Gunung Anak Krakatau. Pengunjung bisa menikmati sensasi unik memasak telur. membuat kopi. atau merebus makanan langsung menggunakan air panas alami di tepi pantai saat air laut sedang surut. 
Pantai Tapak Kera,Lampung Selatan,Alam,4.3,307,20000,0,Tempat parkir. tempat duduk. Ayunan. Mushola kecil. Warung makan dan minuman.Spot foto. Area hiking di bebatuan karang,Pantai alami yang masih sangat perawan dan belum banyak tersentuh dengan hamparan batu karang besar yang menjulang tinggi dan terukir indah menjadi daya tarik utama yang berbeda dari pantai lainnya di Lampung. Air lautnya jernih dan berwarna biru kehijauan dengan pepohonan rindang di sekitar pantai yang menambah suasana sejuk dan tenang
Air Terjun Gunung Betung,Pesawaran,Alam,4.6,74,10000,0,Area parkir. Pos penjagaan. Jalur trekking melewati kebun kopi. 17 air terjun alami. Air Terjun Pemandian Bidadari. Camp ground (2 titik camp). Warung makan di beberapa titik jalur,Wisata alam yang asri dan sejuk cocok untuk trekking. camping. maupun sekadar menikmati air terjun. Jalur trekking melewati kebun kopi sekitar 800 meter dengan pemandangan indah di kanan kiri. 
Pulau Tegal Mas,Pesawaran,Alam,4.5,853,40000,1915,Snorkeling. Diving. Banana boat. Jet ski. Kayak. Kano. Masjid terapung (kapasitas 100+ jemaah). Penangkaran bayi hiu. Cottage/villa terapung. Gazebo/pondokan.,Pulau eksotis yang dijuluki Maldives-nya Indonesia dengan air laut berwarna biru kehijauan yang sangat jernih dan pasir pantai putih yang landai. Ekosistem bawah laut masih terjaga dengan baik. pengunjung bisa menikmati terumbu karang. anemon. ikan nemo. bahkan jika beruntung bisa bertemu penyu hijau dan hiu sirip hitam. 
Pulau Wayang,Pesawaran,Alam,4.8,116,0,2224,"Area parkir luas. Toilet umum. Warung makan. Tempat menunggu perahu. 
Speedboat. Alat snorkeling (masker & snorkel). Pelampung/life jacket. Makan 1x. Air mineral. Tour guide lokal. Dokumentasi",Pulau alami yang sering disebut Mini Raja Ampat karena formasi batuan karst yang menjulang dramatis dari permukaan laut dengan siluet unik menyerupai tokoh wayang kulit. Air lautnya sangat jernih berwarna biru kehijauan dengan kehidupan bawah laut yang masih terjaga baik. cocok untuk snorkeling dan diving.
Taman Wisata Muara Indah,Tanggamus,Alam,4.2,516,5000,124,Pantai Muara Indah. Taman Ruang Terbuka Hijau (RTH). Gazebo/saung di bibir pantai. Tempat duduk santai. Pusat kuliner/gedung kuliner. Toilet. Tempat bilas. Area parkir luas. Sewa perahu sampan fiber. Sewa ban. Arena bermain anak. Spot foto tulisan Taman Wisata Muara Indah, Destinasi wisata keluarga yang menawarkan dua keuntungan sekaligus yaitu menikmati taman hijau yang tertata apik dan pantai yang indah dalam satu kawasan.Destinasi wisata keluarga yang menawarkan dua keuntungan sekaligus yaitu menikmati taman hijau yang tertata apik dan pantai yang indah dalam satu kawasan. 
Bukit Idaman Gisting,Tanggamus,Alam,4.5,1335,10000,5040,Spot foto berlatar Gunung Tanggamus. Spot foto 8 titik selfie. Mushola. Toilet. Kantin/warung makan. Area parkir luas. Saung/gazebo tempat bersantai. Kids area/arena bermain anak. Live music. Area camping/family camp. Spot sunset view Gunung Tanggamus. Spot pemandangan kota Tanggamus,Destinasi wisata bukit yang menawarkan pemandangan Gunung Tanggamus yang megah dan memukau dari ketinggian sekitar 1.100 mdpl dengan udara yang sejuk dan segar. 
Air Terjun Curup Tujuh,Lampung Tengah,Alam,4.3,70,5000,0,Area parkir. Mushola. Toilet/kamar mandi bilas. 7 tingkatan air terjun (total ketinggian 75 meter). Kolam alami di antara bebatuan. Area camping/lahan perkemahan. Sewa motor trail menuju lokasi. ,Wisata air terjun bertingkat tujuh dengan total ketinggian 75 meter yang masih sangat alami di dalam kawasan Hutan Lindung. Setiap tingkatan memiliki karakter aliran air berbeda dengan kolam alami di bawahnya yang bisa untuk berendam. 
Waterboom Tirta Kencana,Lampung Timur,Buatan,4.1,651,20000,0,Kolam renang anak. Kolam renang dewasa. Wahana perosotan berkelok. Wahana ember tumpah. Gazebo. Mini hall. Sewa ban. Kamar mandi bilas. Loker. Area parkir. Kantin. Taman outdoor. Room karaoke keluarga. Hotel/penginapan,Waterboom terpopuler di Lampung Timur dengan wahana air yang cukup lengkap dan modern. Kolam renang dibagi dua yaitu khusus anak-anak dan dewasa sehingga aman dan nyaman untuk wisata keluarga. Fasilitas dan kebersihan selalu dijaga dengan baik oleh pengelola. 
Pesona Bukit Kendeng,Pesawaran,Alam,4.7,89,5000,3380,Area camping ground. Spot sunrise view 180 derajat. Spot sunset view 180 derajat. Pemandangan Teluk Ratai dan Teluk Lampung. Pemandangan Gunung Pesawaran dan Gunung Tanggamus. Warung makan di pintu masuk. Area parkir. Jasa ojek menuju puncak. Jalur setapak trekking 1 km. Spot foto pegunungan dan perbukitan,Destinasi wisata alam di ketinggian sekitar 1.000 mdpl dalam kawasan Hutan Register 21 Pesawaran dengan pemandangan 180 derajat yang memukau. Dari puncak bisa melihat Teluk Ratai. Teluk Lampung. Gunung Pesawaran. Gunung Tanggamus. bahkan saat cuaca cerah bisa terlihat Pulau Sebesi dan Pulau Sebuku.
Curup Pinang Indah,Way Kanan,Alam,4.5,48,0,0,Air terjun setinggi 15 meter. Kolam alami di bawah air terjun. Bebatuan besar eksotis. Spot foto ,Air terjun tersembunyi setinggi 15 meter di Kampung Gunung Sari Way Kanan yang masih sangat alami dan belum banyak dikenal wisatawan. Airnya berasal dari aliran sungai yang deras melewati undakan-undakan berbatu membentuk air terjun yang cantik dan eksotis.
Goa Maria Padang Bulan,Pringsewu,Budaya,4.7,466,0,0,area doa dan tempat ziarah yang tenang. Goa Maria dengan patung Bunda Maria. Jalan Salib 14 perhentian. taman dan pepohonan rindang. area duduk atau tempat istirahat peziarah. sungai kecil di sekitar lokasi. area parkir kendaraan. Rumah Retret La Verna untuk penginapan dan pendampingan rohani. museum sejarah. toilet. serta akses jalan menuju area doa yang nyaman.,suasananya tenang. sejuk. dan cocok untuk berdoa maupun refleksi diri. area tempat ziarah dinilai bersih dan tertata rapi. banyak pengunjung menyukai pemandangan alam serta pepohonan rindang di sekitar lokasi
Taman Metro Indonesia Indah,Metro,Buatan,4.3,1161,0,0,meliputi waterboom. waterpark. flying fox. wall climbing. area outbond. mandi bola. trampolin. futsal mini. kolam arus. kolam selam. air terjun buatan. taman pulau buatan. taman cinta sejati. playground anak. taman edukasi. taman baca. perahu kano. bebek goes. area kuliner Pondok Kayu 29. gazebo. area parkir. toilet. serta berbagai spot rekreasi keluarga dan foto menarik.,Taman Metro Indonesia Indah umumnya positif karena memiliki area wisata yang luas. banyak wahana permainan dan aktivitas keluarga. suasana taman cukup nyaman untuk bersantai. serta banyak spot foto menarik. Pengunjung juga menyukai fasilitas waterpark dan area outbound yang cocok untuk anak-anak maupun keluarga.
Mata Air Sumberagung1,Tanggamus,Alam,4.4,440,5000,127,kolam pemandian alami dari mata air pegunungan. area berenang anak dan dewasa. gazebo atau tempat bersantai. area parkir kendaraan. kamar bilas dan toilet. warung makan.,airnya sangat jernih dan dingin alami dari pegunungan. suasana tempat wisata terasa sejuk dan asri. cocok untuk berenang maupun bersantai bersama keluarga. serta harga tiket masuk dinilai murah.
Pantai Setigi Heni,Lampung Selatan,Alam,4.7,1906,100000,16000, area pantai untuk bersantai. kafe dan restoran tepi pantai. gazebo. tempat duduk pengunjung. spot foto instagramable. area sunset view. area parkir kendaraan. toilet dan kamar bilas. mushola. ,Review Pantai Setigi Heni umumnya positif karena memiliki pemandangan laut yang indah dan suasana sunset yang menarik. area pantai dinilai bersih dan nyaman untuk bersantai. serta konsep kafe tepi pantai membuat pengunjung betah menikmati suasana.
Bukit Neba,Tanggamus,Alam,4.3,54,10000,601,area camping. spot foto alam. gardu pandang. area menikmati sunrise dan sunset. gazebo atau tempat istirahat. area parkir kendaraan. toilet. warung makan sederhana. jalur trekking. area bersantai. serta pemandangan perbukitan dan hamparan alam yang sejuk.,Review Bukit Neba umumnya positif karena memiliki pemandangan alam yang indah dan udara yang sejuk. cocok untuk camping. menikmati sunrise. maupun bersantai bersama teman dan keluarga.
Bendungan Batutegi,Tanggamus,Alam,4.4,317,3000,59,area parkir kendaraan. gardu pandang. area bersantai. spot foto dengan pemandangan bendungan dan perbukitan. warung makan sederhana. toilet. jalan akses wisata. area memancing. ,memiliki pemandangan waduk yang luas dan indah. suasana sejuk dengan perbukitan hijau di sekelilingnya. serta cocok untuk bersantai dan menikmati alam. Banyak pengunjung menyukai spot foto dan suasana tenang di area bendungan.
Pantai Guci Batu Kapal,Lampung Selatan,Alam,4.3,452,15000,238,pantai untuk bermain dan bersantai. gazebo. spot foto batu karang unik berbentuk kapal. area camping. toilet dan kamar bilas. mushola. warung makan dan minuman. area parkir kendaraan. ,pemandangan laut yang indah dengan batu karang unik berbentuk kapal yang menjadi daya tarik utama. suasana pantai cukup tenang dan cocok untuk bersantai maupun camping. serta banyak spot foto menarik untuk pengunjung. 
Pantai Bensam (Benteng Samudera),Pesawaran,Alam,4.8,1248,25000,107,gazebo. parkir. mushola. toilet. warung makan. cottage. camping area. spot foto. banana boat. dan area bermain anak.,pantainya bersih. ombak cukup tenang. cocok untuk liburan keluarga. banyak spot foto menarik. serta fasilitasnya cukup lengkap.
Pantai Batu Putih Bahari,Lampung Selatan,Alam,4.4,71,10000,0,gazebo. parkir. toilet. mushola. warung makan. spot foto. area bermain pantai. camping area. dan tempat duduk pengunjung.,pasir dan batu cadas putih yang unik. suasana pantai cukup bersih dan nyaman untuk liburan keluarga. banyak spot foto menarik. serta pemandangan laut yang indah.
Pantai Tiska,Bandar Lampung,Alam,4,1403,10000,6412,parkir. toilet. mushola. warung makan. spot foto. area bermain pantai. camping area. penginapan. dan penyewaan ban atau pelampung. gazebo,pantainya bersih. suasana nyaman untuk liburan keluarga. banyak spot foto menarik. serta cocok untuk menikmati sunset dan bersantai. 
Pantai Pulau Permata,Bandar Lampung,Alam,4.1,248,10000,0,gazebo. parkir. toilet. mushola. warung makan. spot foto. penginapan. camping area. penyewaan perahu. dan area bermain pantai.,memiliki air laut yang jernih. suasana pantai yang tenang. cocok untuk camping dan liburan keluarga. serta banyak spot foto menarik.
Pantai Karang Bolong,Tanggamus,Alam,4.4,205,10000,0,parkir. toilet. mushola. warung makan. spot foto. camping area. area bermain pantai.gazebo,pemandangan batu karang unik dan laut yang indah. suasana pantai cukup tenang untuk bersantai. serta banyak spot foto
Pantai Batu Tihang,Pesisir Barat,Alam,4.6,608,5000,0,gazebo. parkir. toilet. warung makan. spot foto. area bermain pantai. camping area,memiliki batu karang tinggi yang unik sebagai ikon pantai. pemandangan laut yang indah. suasana masih alami. serta cocok untuk bersantai dan berfoto. Pengunjung juga menyukai ombak dan panorama sunsetnya. meskipun fasilitas wisata masih cukup sederhana.
Air Terjun Sri Ratu Klawas Ulu,Lampung Utara,Alam,4.2,195,5000,0,area parkir. toilet. tempat duduk. area camping. spot foto. warung sederhana. dan area trekking menuju air terjun. gazebo,air terjun yang indah dan suasana alam yang masih asri. udara sejuk. serta cocok untuk refreshing dan camping.
Gunung Betung,Pesawaran,Alam,4.4,130,15000,3950,meliputi area parkir. pos pendakian. camping ground. toilet. warung sederhana. spot foto. jalur trekking. dan area istirahat pendaki.,jalur pendakian yang menarik. udara sejuk. dan pemandangan alam yang indah dari puncak. Pengunjung juga menyukai suasana hutan yang masih asri dan cocok untuk camping maupun hiking. meskipun jalur pendakian cukup menantang bagi pemula dan fasilitas di beberapa area masih sederhana.
Air Terjun Curup Sukaemi,Lampung Utara,Alam,4.4,85,5000,0,parkir. toilet. gazebo. warung sederhana. spot foto. area trekking. dan tempat istirahat pengunjung.,air terjunnya indah. suasana masih asri dan sejuk. cocok untuk refreshing serta camping
Air Terjun Way Detum,Pesisir Barat,Alam,4.7,16,5000,0,parkir. toilet. gazebo. warung sederhana. spot foto. area trekking. dan tempat istirahat pengunjung.,suasana alam yang masih asri. air terjun yang jernih dan sejuk. cocok untuk refreshing dan menikmati alam. meskipun akses menuju lokasi cukup menantang dan fasilitas wisata masih sederhana.
Air Terjun Pagasan,Pringsewu,Alam,4.4,56,5000,0,parkir. toilet. gazebo. warung sederhana. spot foto. area trekking. dan tempat istirahat pengunjung.,pemandangan alam yang indah. air terjun yang jernih dan sejuk. suasana masih alami. serta cocok untuk refreshing dan camping. meskipun akses jalan menuju lokasi cukup menantang dan fasilitas wisata masih sederhana.
D'Mermaid Tirtayasa Waterpark,Bandar Lampung,Buatan,4.1,985,25000,0,kolam renang anak dan dewasa. waterboom. perosotan. gazebo. mushola. toilet. kantin. loker. aula gathering. parkir. dan spot bermain air.,cocok untuk liburan keluarga. wahana air cukup lengkap. dan suasananya nyaman untuk anak-anak. meskipun saat ramai beberapa area terasa padat.
Muncak Pas,Pesawaran,Alam,4.4,459,15000,270,Spot foto (teropong laut). gazebo/pondokan. kantin kuliner. area duduk outdoor. mushola. toilet.,Gak nyesel jauh-jauh ke sini! View lautnya juara banget. apalagi pas sunset. Spot fotonya banyak. yang paling favorit tetep rumah pohonnya. Udaranya sejuk. cocok buat yang pengen healing tipis-tipis dari hiruk pikuk kota. Tiket masuk juga ramah di kantong
Pintu Langit 2,Bandar Lampung,Alam,4.4,218,5000,2370,Spot foto (jembatan kaca). mushola kaca. restoran (Emerald Bistro). area duduk outdoor,Keren banget mushola kacanya! Pas mau sholat agak gemetaran karena lantainya transparan. tapi view lautnya bener-bener bayar semua rasa takut. Tiket cuma 5rb. sangat worth it!
Lembah Suhita,Bandar Lampung,Alam,4.8,166,0,3464,Spot foto. area edukasi lebah. toko madu. area ecoprint. gazebo,Hidden gem banget! Suasananya tenang. adem. dan asri karena banyak pohon durian dan bunga-bunga. Cocok buat yang mau kabur sejenak dari polusi kota. Fasilitasnya oke. ada kolam renang anak juga. Paling pas ke sini pas musim durian. bisa langsung makan di tempat
Pantai Karang Putih,Tanggamus,Alam,4.1,23,15000,73,Spot foto (ikon karang putih). area memancing. camping ground. warung makan. mushola. toilet.,Bener-bener definisi surga tersembunyi! Karang putihnya ikonik banget. sekilas mirip Tanah Lot di Bali. Airnya bening kristal. pasirnya putih bersih. Cocok buat yang mau healing total karena suasananya tenang banget dan belum banyak orang tau.
Danau Kemuning,Lampung Timur,Alam,4.2,476,5000,53,kolam pemancingan. wahana bebek air. sewa ban. gazebo. kantin kuliner. area karaoke,Tempatnya adem banget! Airnya jernih dan seger karena langsung dari mata air. bukan kolam renang kaporit. Paling seru bawa keluarga ke sini. anak-anak bisa main air sepuasnya. Tiketnya juga murah meriah banget. cuma 5 ribu rupiah.
Gunung Batu,Lampung Selatan,Alam,4.4,349,10000,146,Spot foto (batuan granit). jalur hiking ringan. area bersantai di puncak,Pemandangan dari atas batu gokil banget. bisa liat matahari terbit sama terbenam dengan jelas. Penduduk sekitarnya ramah. banyak yang jualan cemilan juga. Sangat direkomendasikan buat yang suka fotografi alam.
Pantai Tanjung Tua Induk,Lampung Selatan,Alam,4.3,57,5000,0,Spot foto (tebing & laut). menara pandang. area memancing. camping ground. warung makan,View-nya gila sih! Berasa di ujung dunia karena kita bisa liat hamparan laut biru luas dari atas tebing. Buat yang hobi foto atau camping. ini tempat paling mantap di sekitar Bakauheni. Airnya jernih banget. biru kehijauan. bener-bener mutiara tersembunyi
Taman Hutan Raya Wan Abdul Rachman,Pesawaran,Alam,4.4,142,15000,865,penangkaran rusa. jalur trekking. air terjun. area camping. rumah pohon,Hidden gem banget buat yang mau ngadem! Penangkaran rusanya seru. anak-anak seneng bisa kasih makan langsung. Udaranya sejuk parah karena emang di kaki Gunung Betung. Kalau mau yang lebih menantang. bisa lanjut trekking ke air terjunnya. airnya jernih dan dingin banget!
Pantai Arang,Lampung Selatan,Alam,4.4,423,50000,36800,Spot foto. area grilling (BBQ). gazebo/pondokan. kafe & resto. area camping. layanan shuttle. mushola. toilet.,Tempatnya cakep buat foto-foto. setiap sudut estetik banget. Fasilitas kayak gazebo. toilet. dan mushola juga rapi dan bersih. Minusnya cuma di akses jalan yang agak membingungkan kalau pertama kali ke sini. satu pintu masuk sama Pantai Marina tapi harus teliti liat plangnya.
Pantai Sanggar,Lampung Selatan,Alam,4.1,240,35000,53200,Spot foto. kafe & resto. area playground. gazebo/saung. area camping. wahana berkuda. ATV. mushola. toilet.,Lokasinya strategis banget karena deket pusat kota Kalianda. Tiket masuknya standar. sekitar 15-20rb udah free gazebo sama parkir. Fasilitasnya lengkap. ada mushola. toilet bersih. sampe tempat main anak. Minusnya cuma kalau hari libur rame banget. harus sabar antre di kamar bilas.
Titian Mutiara Beach,Lampung Selatan,Alam,4.6,106,15000,764,Spot foto. kolam renang anak. gazebo/saung. area memancing. area camping. kantin. kamar bilas. mushola. toilet,Pasir putihnya kombinasi sama batu. airnya jernih kristal. Ada kolam khusus buat anak-anak berenang yang dibatasi batu karang. jadi aman dari ombak laut lepas. Tiket masuk murah meriah cuma 5-10 ribuan. bener-bener hidden gem di Kalianda
Pantai Pelangi Indah,Lampung Selatan,Alam,4.4,36,10000,253,Spot foto. ayunan pantai. berkuda. gazebo. area bermain anak. mushola. toilet.,Bibir pantainya landai. jadi aman buat anak-anak main air di pinggir. Uniknya ada penyewaan kuda juga kalau mau coba sensasi keliling pantai beda dari biasanya. Aksesnya gampang karena dekat dari pusat kota Kalianda. cuma sekitar 10 menitan
Pantai Aruna,Lampung Selatan,Alam,4.3,324,20000,24700,Spot foto. wahana air (banana boat/jetski). gazebo payung. area camping. kano/sampan. mushola. toilet.,Pantai yang bener-bener worth it! Tiket 20 ribu udah dapet fasilitas gazebo. toilet. dan kamar bilas gratis. Pantainya bersih banget. pasirnya putih lembut. dan ombaknya relatif aman buat anak-anak main air. Banyak pohon kelapa jadi suasananya teduh dan adem.
Pantai Onaria Puridewata,Lampung Selatan,Alam,4.1,221,0,0,Spot foto. area memancing. area berenang. gazebo/pondokan. warung makan. mushola. toilet.,View-nya bagus dan lokasinya nggak jauh dari Jalan Lintas Timur Lampung. Selain main air. di sini juga asyik buat yang hobi mancing. Suasananya masih alami banget. Fasilitas kayak toilet sama warung-warung kecil udah ada. lumayan lengkap buat ukuran pantai desa
Pantai Aurora,Lampung Selatan,Alam,4.5,58,10000,1143,Spot foto. kafe & resto. kolam renang. kolam pemancingan. cottage/penginapan. mushola. toilet.,Tempatnya asik banget buat liburan keluarga. Anak-anak betah karena ada kolam renang yang luas plus wahana airnya. Cafe-nya juga oke. makanannya enak dan harganya masih masuk akal. Paling juara sih pas sore. sunset-nya indah banget dengan latar Gunung Rajabasa
Jungle Sea,Lampung Selatan,Buatan,4.7,506,70000,35000,Spot foto tematik. wahana permainan (20+ atraksi). beach pool (kolam renang). mini zoo. taman labirin. food court. mushola. toilet.,Paket lengkap banget buat liburan bareng anak-anak! Satu tiket udah bisa main wahana sepuasnya plus dapet akses pantai dan kolam renang. Spot fotonya estetik parah. favorit saya yang area ala Jepang sama Santorini. Anak-anak paling betah di Dino Beach liat robot dinosaurus yang bisa gerak-gerak.
Makam Radin Inten II,Lampung Selatan,Budaya,4.6,386,0,0,tugu & relief sejarah. makam pahlawan. area ziarah. pendopo.,Tempatnya sangat terawat. bersih. dan asri karena banyak pohon rindang. Suasananya tenang banget. cocok buat ziarah sekaligus napak tilas sejarah perjuangan beliau. Parkirannya luas dan aksesnya gampang dicari karena tepat di pinggir jalan desa
Makam Pahlawan,Bandar Lampung,Budaya,4.5,89,0,0,tugu & relief pahlawan. area tabur bunga. area parkir. mushola. toilet.,Tempatnya rapi. bersih. dan sangat khidmat. Pas banget buat ziarah atau sekadar ngajak anak-anak belajar sejarah biar mereka tau perjuangan pahlawan Lampung dulu. Pohon-pohonnya rindang. jadi meskipun di pinggir jalan raya. di dalem tetep kerasa tenang dan adem
Benteng Cempaka,Lampung Selatan,Budaya,4.6,386,0,0,tugu & relief sejarah. makam pahlawan. area ziarah. tempat parkir luas. warung makanan,Tempatnya sakral dan sarat sejarah. Begitu masuk. langsung disambut patung Radin Intan II yang gagah. Area bentengnya unik karena berupa gundukan tanah raksasa yang masih terjaga. Cocok buat ziarah sekaligus edukasi sejarah buat anak-anak. Udaranya sejuk karena banyak pohon rindang.
Makam Ratu Darah Putih,Lampung Selatan,Budaya,4.5,75,0,0,wisata religi/sejarah). bangunan makam keramat. area ziarah. pendopo pertemuan,Suasana di sini sangat tenang dan sakral. Area makamnya bersih dan sangat terawat. Buat yang suka wisata religi dan sejarah. tempat ini wajib dikunjungi karena beliau adalah leluhur pahlawan besar Lampung. Berada di sini bikin hati adem.
Dermaga Bom,Lampung Selatan,Buatan,4.2,2210,0,0,wisata kuliner (otak-otak & seafood). area memancing. pasar ikan hias. taman bermain anak. mushola. toilet.,Suasananya rame dan hidup. terutama pas sore dan malam minggu. Ada banyak pilihan rumah makan seafood seperti Nong Bohay atau Pondok Air Panas di sekitarnya. Pemandangan Gunung Rajabasa dari kejauhan juga bikin foto makin estetik.
Alau Alau Boutique Resort,Lampung Selatan,Buatan,4.1,469,15000,3437,pantai pribadi (private beach). cottage/penginapan. kolam renang. area bermain anak. restoran. mushola. toilet.,Hidden gem buat yang mau bener-bener nyepi! Pantai pribadinya (Laguna Helau) bagus banget. airnya jernih dan banyak batu karang eksotis buat foto-foto. Paling suka tipe rumah panggungnya. berasa banget suasana alaminya. Cocok buat honeymoon atau keluarga yang cari ketenangan.
Tabek Indah,Lampung Selatan,Buatan,4.2,1772,15000,3892,kolam renang (waterboom). cottage/penginapan. area outbound. lapangan paintball. kolam pemancingan. restoran. mushola. toilet.,Tempatnya luas banget dan adem! Cocok buat acara keluarga besar atau gathering kantor. Anak-anak paling seneng main di kolam renangnya. Suasananya bener-bener kayak di kampung. banyak pohon dan sawah. Highly recommended buat yang mau cari udara segar deket Bandar Lampung.
Hutan Jati,Bandar Lampung,Alam,4.7,234,10000,4532,Spot foto (city light). area camping. kafe. area api unggun. mushola. toilet.,View-nya gila sih. dapet paket lengkap: kota. bukit. sama laut dalam satu frame! Paling pas dateng sore buat dapet sunset. terus lanjut liat city light pas malem. Vibes-nya adem banget kayak di Bandung. cocok buat nge-camp bareng temen-temen.
Taman Betung,Bandar Lampung,Alam,4.7,308,15000,7967,kebun jamur. taman kelinci. camping ground. gazebo. area bermain anak. kantin. mushola. toilet.,Tempatnya sejuk banget karena posisinya di bawah kaki gunung. Taman bunganya cantik dan terawat. cocok banget buat yang hobi foto-foto atau sekadar mau 'healing' tipis-tipis. Anak-anak juga seneng karena ada kolam renang dan area playground-nya.
Farmora,Bandar Lampung,Buatan,4.2,155,15000,12900,kolam renang anak. interaksi satwa (domba/kelinci). area memanah. kafe & resto. gazebo. mushola. toilet,Surganya anak-anak banget! Di sini si kecil bisa bebas lari-larian dan kenalan sama hewan-hewan lucu kayak domba merino. kelinci. sama burung. Paling seru pas kasih makan ikan koi sama domba. pakan hewan cuma 2rb per paket. Suasananya sejuk dan banyak spot foto estetik ala Eropa.
Sumber Agung,Bandar Lampung,Alam,4.8,18,10000,1977,penangkaran rusa. jembatan kaca. area piknik. jalur trekking. kafe & resto. gazebo. mushola. toilet.,Seru banget bisa kasih makan rusa langsung. anak-anak pasti happy. Tiketnya murah cuma 5-10 ribuan. Suasananya adem karena banyak pohon besar. Sayangnya beberapa fasilitas seperti gazebo dan toilet perlu lebih dirawat lagi.
Krakatau Park,Lampung Selatan,Buatan,4.4,676,180000,37800,wahana permainan (25+ atraksi). waterpark. galeri sains. cinema 4D. food court. klinik. ruang menyusui. mushola. toilet.,Gak perlu jauh-jauh ke Jakarta lagi! Wahana permainannya banyak banget dan seru-seru. favorit saya Lava Purba sama Kincir Raksasa-nya. Pemandangan ke arah laut Bakauheni dari atas kincir bener-bener keren. Cocok banget buat liburan keluarga setelah turun dari kapal feri.
Talang Mulya,Pesawaran,Alam,4.5,175,15000,660,air terjun. camping ground. jalur trekking. area agrowisata (kebun kopi/salak). mushola. toilet.,Hidden gem yang penuh kejutan! Punya banyak air terjun dalam satu kawasan. yang paling favorit Curug Asda. Udaranya sejuk parah karena nempel sama Tahura WAR. Buat yang mau coba canyoneering (turun tebing air terjun). di sini tempatnya. Seru banget buat pemula dan adrenalin bener-bener terpacu!
Pulau Sijebi,Pesawaran,Alam,4.7,3,50000,0,pantai alami. dermaga penyeberangan. penginapan (homestay). area snorkeling. jalur trekking. warung makan. mushola. toilet. ,Bener-bener surga tersembunyi! Spot paling ikonik di sini adalah Karang Bolong-nya. unik banget buat foto. Airnya super jernih dan biru. pasirnya putih bersih. Cocok buat yang mau healing jauh dari keramaian karena pulau ini masih sepi dan alami banget.
Kali Bronjong,Pesawaran,Alam,4.3,660,5000,0,aliran sungai alami. kolam renang anak. sewa ban (tubing). gazebo. kantin. kamar bilas. mushola. toilet.,Surganya anak-anak! Airnya bening kristal. seger banget karena langsung dari mata air. Anak-anak betah main air pake ban pelampung berjam-jam. Paling enak ke sini bawa bekel sendiri terus makan bareng keluarga di saung pinggir sungai. Murah meriah tapi asiknya dapet banget
Ruang Keramik Studio,Metro,Buatan,4.6,193,0,77, galeri karya. area kelas (pottery studio). alat & bahan keramik. instruktur. mushola. toilet.,Bener-bener healing yang berfaedah! Awalnya takut nggak bisa karena nggak ada bakat seni. tapi mentornya sabar banget ngajarin dari nol. Proses pegang tanah liatnya bikin rileks banget. pikiran jadi tenang. Hasil karyanya juga bisa dibawa pulang setelah proses pembakaran. puas banget liat hasilnya
Palem Indah,Metro,Buatan,4.2,1652,30000,4193,kolam renang (waterboom). dunia mini (miniatur dunia). kebun binatang mini. wahana permainan. gazebo. mushola. toilet,Tempat liburan keluarga paling lengkap di Metro. Kolam renangnya banyak pilihan. dari yang dangkal buat balita sampai yang dalam buat dewasa. Pohon palemnya bikin suasana adem dan gak terlalu terik. Anak-anak betah banget seharian di sini!
